Country,Year,Variable,Source,Value,Unit
BANGLADESH,1964,IMPORT QUANTITY,USDA,82000.00,tonnes
BANGLADESH,1963,IMPORT QUANTITY,USDA,283000.00,tonnes
BANGLADESH,1962,IMPORT QUANTITY,USDA,419000.00,tonnes
BANGLADESH,1961,IMPORT QUANTITY,USDA,229000.00,tonnes
BANGLADESH,1960,IMPORT QUANTITY,USDA,492000.00,tonnes
BANGLADESH,2016,IMPORT VALUE,FAO,19599.00,1000 US$
BANGLADESH,2015,IMPORT VALUE,FAO,405843.00,1000 US$
BANGLADESH,2014,IMPORT VALUE,FAO,369729.00,1000 US$
BANGLADESH,2013,IMPORT VALUE,FAO,118506.00,1000 US$
BANGLADESH,2012,IMPORT VALUE,FAO,20531.00,1000 US$
BANGLADESH,2011,IMPORT VALUE,FAO,638721.00,1000 US$
BANGLADESH,2010,IMPORT VALUE,FAO,273723.00,1000 US$
BANGLADESH,2009,IMPORT VALUE,FAO,14116.00,1000 US$
BANGLADESH,2008,IMPORT VALUE,FAO,289175.00,1000 US$
BANGLADESH,2007,IMPORT VALUE,FAO,155419.00,1000 US$
BANGLADESH,2006,IMPORT VALUE,FAO,62408.00,1000 US$
BANGLADESH,2005,IMPORT VALUE,FAO,135307.00,1000 US$
BANGLADESH,2004,IMPORT VALUE,FAO,211464.00,1000 US$
BANGLADESH,2003,IMPORT VALUE,FAO,219575.00,1000 US$
BANGLADESH,2002,IMPORT VALUE,FAO,146030.00,1000 US$
BANGLADESH,2001,IMPORT VALUE,FAO,22420.00,1000 US$
BANGLADESH,2000,IMPORT VALUE,FAO,64069.00,1000 US$
BANGLADESH,1999,IMPORT VALUE,FAO,540918.00,1000 US$
BANGLADESH,1998,IMPORT VALUE,FAO,234819.00,1000 US$
BANGLADESH,1997,IMPORT VALUE,FAO,40264.00,1000 US$
BANGLADESH,1996,IMPORT VALUE,FAO,253581.00,1000 US$
BANGLADESH,1995,IMPORT VALUE,FAO,218256.00,1000 US$
BANGLADESH,1994,IMPORT VALUE,FAO,13481.00,1000 US$
BANGLADESH,1993,IMPORT VALUE,FAO,3616.00,1000 US$
BANGLADESH,1992,IMPORT VALUE,FAO,2644.00,1000 US$
BANGLADESH,1991,IMPORT VALUE,FAO,2659.00,1000 US$
BANGLADESH,1990,IMPORT VALUE,FAO,67881.00,1000 US$
BANGLADESH,1989,IMPORT VALUE,FAO,10088.00,1000 US$
BANGLADESH,1988,IMPORT VALUE,FAO,107649.00,1000 US$
BANGLADESH,1987,IMPORT VALUE,FAO,42530.00,1000 US$
BANGLADESH,1986,IMPORT VALUE,FAO,10976.00,1000 US$
BANGLADESH,1985,IMPORT VALUE,FAO,148918.00,1000 US$
BANGLADESH,1984,IMPORT VALUE,FAO,38203.00,1000 US$
BANGLADESH,1983,IMPORT VALUE,FAO,70306.00,1000 US$
BANGLADESH,1982,IMPORT VALUE,FAO,56146.00,1000 US$
BANGLADESH,1981,IMPORT VALUE,FAO,18503.00,1000 US$
BANGLADESH,1980,IMPORT VALUE,FAO,122604.00,1000 US$
BANGLADESH,1979,IMPORT VALUE,FAO,8200.00,1000 US$
BANGLADESH,1978,IMPORT VALUE,FAO,73120.00,1000 US$
BANGLADESH,1977,IMPORT VALUE,FAO,31608.00,1000 US$
